MLS,Property Type,Condo/SFH,Property price (USD),Price was cut,Price cut amount (USD),Price cut date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Zip,Est Sales price (sq ft),Purchase Price,Resale Price,Update Costs (sq ft) by Q,Rehab Costs,Closing Costs,Ave Update Total Cost,Total Investment,Ave Profit,Ave Return
6286800,Condominium,0,285000,No,,,765,sqft,372.55,80203,330.0793,252510,340425,35,26775,20200.8,46975.8,299485.8,40939.2,0.136698301
6565082,Condominium,0,1600000,No,,,4035,sqft,396.53,80203,351.32558,1417600,1795575,35,141225,113408,254633,1672233,123342,0.07375886
7584055,Condominium,0,915000,No,,,2841,sqft,322.07,80203,285.35402,810690,1264245,45,127845,64855.2,192700.2,1003390.2,260854.8,0.259973438
1052028,Condominium,0,520000,No,,,1213,sqft,428.69,80203,379.81934,460720,539785,25,30325,36857.6,67182.6,527902.6,11882.4,0.022508698
5386529,Condominium,0,549950,Yes,9050,2/2/2026,1308,sqft,420.45,80203,372.5187,487255.7,582060,25,32700,38980.456,71680.456,558936.156,23123.844,0.041371172
2180244,Condominium,0,440000,No,,,1266,sqft,347.55,80203,307.9293,389840,563370,45,56970,31187.2,88157.2,477997.2,85372.8,0.17860523
3103433,Condominium,0,430000,No,,,1382,sqft,311.14,80203,275.67004,380980,614990,45,62190,30478.4,92668.4,473648.4,141341.6,0.298410382
1822267,Condominium,0,429900,No,,,944,sqft,455.4,80203,403.4844,380891.4,420080,25,23600,30471.312,54071.312,434962.712,-14882.712,-0.034216064
8062489,Condominium,0,529900,Yes,5100,2/10/2026,1173,sqft,451.75,80203,400.2505,469491.4,521985,25,29325,37559.312,66884.312,536375.712,-14390.712,-0.026829537
5660833,Condominium,0,449900,Yes,5000,1/7/2026,1095,sqft,410.87,80203,364.03082,398611.4,487275,25,27375,31888.912,59263.912,457875.312,29399.688,0.064208939
1234567,Condominium,0,289999,No,,,1067,sqft,271.79,80203,240.80594,256939.114,474815,45,48015,20555.12912,68570.12912,325509.2431,149305.7569,0.458683617
9694856,Condominium,0,295000,No,,,607,sqft,486,80203,430.596,261370,270115,15,9105,20909.6,30014.6,291384.6,-21269.6,-0.072994935
7082262,Condominium,0,374900,No,,,797,sqft,470.39,80203,416.76554,332161.4,354665,15,11955,26572.912,38527.912,370689.312,-16024.312,-0.043228417
1051841,Condominium,0,365000,No,,,1025,sqft,356.1,80203,315.5046,323390,456125,45,46125,25871.2,71996.2,395386.2,60738.8,0.153618917
8795843,Condominium,0,474900,No,,,925,sqft,513.41,80203,454.88126,420761.4,411625,15,13875,33660.912,47535.912,468297.312,-56672.312,-0.121017803
7316221,Condominium,0,880000,Yes,25000,1/19/2026,2181,sqft,403.48,80203,357.48328,779680,970545,25,54525,62374.4,116899.4,896579.4,73965.6,0.082497546
2629518,Condominium,0,359900,Yes,10100,2/24/2026,1059,sqft,339.85,80203,301.1071,318871.4,471255,45,47655,25509.712,73164.712,392036.112,79218.888,0.202070385
9045747,Condominium,0,595000,No,,,1251,sqft,475.62,80203,421.39932,527170,556695,15,18765,42173.6,60938.6,588108.6,-31413.6,-0.053414624
2989546,Condominium,0,385000,Yes,2000,11/14/2025,1135,sqft,339.21,80203,300.54006,341110,505075,45,51075,27288.8,78363.8,419473.8,85601.2,0.204068049
9913552,Condominium,0,375000,Yes,10000,2/13/2026,844,sqft,444.31,80203,393.65866,332250,375580,25,21100,26580,47680,379930,-4350,-0.011449478
2550135,Condominium,0,350000,No,,,765,sqft,457.52,80203,405.36272,310100,340425,15,11475,24808,36283,346383,-5958,-0.017200613
7440922,Condominium,0,350000,No,,,1102,sqft,317.6,80203,281.3936,310100,490390,45,49590,24808,74398,384498,105892,0.275403253
2070828,Condominium,0,320000,Yes,5000,2/13/2026,1116,sqft,286.74,80203,254.05164,283520,496620,45,50220,22681.6,72901.6,356421.6,140198.4,0.393349898
4510782,Condominium,0,490000,Yes,10000,2/22/2026,1182,sqft,414.55,80203,367.2913,434140,525990,25,29550,34731.2,64281.2,498421.2,27568.8,0.055312254
1597172,Condominium,0,189900,No,,,565,sqft,336.11,80203,297.79346,168251.4,251425,45,25425,13460.112,38885.112,207136.512,44288.488,0.213813043
1050260,Condominium,0,305000,Yes,15000,2/10/2026,742,sqft,411.05,80203,364.1903,270230,330190,25,18550,21618.4,40168.4,310398.4,19791.6,0.063761927
6520588,Condominium,0,224000,No,,,610,sqft,367.21,80203,325.34806,198464,271450,35,21350,15877.12,37227.12,235691.12,35758.88,0.15171925
1051797,Condominium,0,330000,No,,,637,sqft,518.05,80203,458.9923,292380,283465,15,9555,23390.4,32945.4,325325.4,-41860.4,-0.1286724
1051942,Condominium,0,275000,No,,,910,sqft,302.2,80203,267.7492,243650,404950,45,40950,19492,60442,304092,100858,0.331669363
5888639,Condominium,0,240000,No,,,588,sqft,408.16,80203,361.62976,212640,261660,25,14700,17011.2,31711.2,244351.2,17308.8,0.070835748
3685785,Condominium,0,610000,No,,,1621,sqft,376.31,80203,333.41066,540460,721345,35,56735,43236.8,99971.8,640431.8,80913.2,0.126341634
2104527,Condominium,0,289900,No,,,918,sqft,315.8,80203,279.7988,256851.4,408510,45,41310,20548.112,61858.112,318709.512,89800.488,0.281762811
1047721,Condominium,0,220000,Yes,5000,2/17/2026,937,sqft,234.79,80203,208.02394,194920,416965,45,42165,15593.6,57758.6,252678.6,164286.4,0.650179319
4483954,Condominium,0,315000,No,,,1067,sqft,295.22,80203,261.56492,279090,474815,45,48015,22327.2,70342.2,349432.2,125382.8,0.358818678
7846693,Condominium,0,330000,No,,,918,sqft,359.48,80203,318.49928,292380,408510,45,41310,23390.4,64700.4,357080.4,51429.6,0.144028068
4342302,Condominium,0,249000,Yes,20000,2/12/2026,457,sqft,544.86,80203,482.74596,220614,203365,15,6855,17649.12,24504.12,245118.12,-41753.12,-0.170338774
8489016,Condominium,0,219000,No,,,604,sqft,362.58,80203,321.24588,194034,268780,35,21140,15522.72,36662.72,230696.72,38083.28,0.165079417
7157480,Condominium,0,1275000,Yes,75000,1/22/2026,2256,sqft,565.16,80203,500.73176,1129650,1003920,15,33840,90372,124212,1253862,-249942,-0.199337726
4868046,Condominium,0,364900,No,,,1067,sqft,341.99,80203,303.00314,323301.4,474815,45,48015,25864.112,73879.112,397180.512,77634.488,0.195463991
3529852,Condominium,0,175000,Yes,15000,9/25/2025,428,sqft,408.88,80203,362.26768,155050,190460,25,10700,12404,23104,178154,12306,0.06907507
4300846,Condominium,0,429900,No,,,1121,sqft,383.5,80203,339.781,380891.4,498845,35,39235,30471.312,69706.312,450597.712,48247.288,0.107073975
2758839,Condominium,0,250000,Yes,10000,2/23/2026,667,sqft,374.81,80203,332.08166,221500,296815,35,23345,17720,41065,262565,34250,0.13044389
3176055,Condominium,0,335000,Yes,15000,2/20/2026,769,sqft,435.63,80203,385.96818,296810,342205,25,19225,23744.8,42969.8,339779.8,2425.2,0.007137564
2880390,Condominium,0,260000,No,,,567,sqft,458.55,80203,406.2753,230360,252315,15,8505,18428.8,26933.8,257293.8,-4978.8,-0.019350641
3479949,Condominium,0,625000,No,,,1286,sqft,486,80203,430.596,553750,572270,15,19290,44300,63590,617340,-45070,-0.073006771
